categories,title,method_name,authors,venue,year,publication_type,paper_url,doi,code_url,code_license
de-novo-elucidation,GEMS: Molecular Structure Identification via Geodesic Navigation of the Isomer Manifold,GEMS,Utku Umur Acikalin; Yingheng Wang; Goncalo J. Gouveia; Tyler Schwertfeger; Frank C. Schroeder; Carla P. Gomes,Generative and Agentic AI for Biology Workshop at ICML,2026,workshop,https://openreview.net/forum?id=Ic5qOZ6xur,,,
structure-to-spectrum,⭐Fragment-Grounded Neural Simulation of Electron Ionization Mass Spectra at Library Scale,,Magdalena Lederbauer; Runzhong Wang; Connor W. Coley,ChemRxiv,2026,preprint,https://chemrxiv.org/doi/full/10.26434/chemrxiv.15008135,10.26434/chemrxiv.15008135,,
structure-to-spectrum,⭐GLACIER: Rethinking Mass Spectrum Prediction as an Object Detection Problem,GLACIER,Rui-Xi Wang; Runzhong Wang; Connor W. Coley,arXiv,2026,preprint,https://arxiv.org/abs/2606.29161,10.48550/arXiv.2606.29161,https://github.com/coleygroup/ms-pred,MIT
structure-to-spectrum,⭐Neural Spectral Prediction for Structure Elucidation with Tandem Mass Spectrometry,ICEBERG 2.0,Runzhong Wang; Mrunali Manjrekar; Babak Mahjour; Julian Avila-Pacheco; Joules Provenzano; Erin Reynolds; Magdalena Lederbauer; Eivgeni Mashin; Samuel Goldman; Mingxun Wang; Jing-Ke Weng; Desirée L. Plata; Clary B. Clish; Connor W. Coley,bioRxiv,2025,preprint,https://www.biorxiv.org/content/10.1101/2025.05.28.656653v2,10.1101/2025.05.28.656653,https://github.com/coleygroup/ms-pred,MIT
formula-inference,Towards de Novo Identification of Metabolites by Analyzing Tandem Mass Spectra,,Sebastian Böcker; Florian Rasche,Bioinformatics,2008,journal,https://doi.org/10.1093/bioinformatics/btn270,10.1093/bioinformatics/btn270,,
de-novo-elucidation,MS2Mol: A Transformer Model for Illuminating Dark Chemical Space from Mass Spectra,MS2Mol,Thomas Butler; Abraham Frandsen; Rose Lightheart; Brian Bargh; Thomas Kerby; Kiana West; Joseph Davison; James Taylor; Christoph Krettler; TJ Bollerman; Gennady Voronov; Kevin Moon; Tobias Kind; Pieter Dorrestein; August Allen; Viswa Colluru; David Healey,ChemRxiv,2023,preprint,https://doi.org/10.26434/chemrxiv-2023-vsmpx-v4,10.26434/chemrxiv-2023-vsmpx-v4,,
de-novo-elucidation,An End-to-End Deep Learning Framework for Translating Mass Spectra to De-Novo Molecules,Spec2Mol,Eleni E. Litsa; Vijil Chenthamarakshan; Payel Das; Lydia E. Kavraki,Communications Chemistry,2023,journal,https://www.nature.com/articles/s42004-023-00932-3,10.1038/s42004-023-00932-3,https://github.com/KavrakiLab/Spec2Mol,BSD-3-Clause
de-novo-elucidation,⭐DiffMS: Diffusion Generation of Molecules Conditioned on Mass Spectra,DiffMS,Montgomery Bohde; Mrunali Manjrekar; Runzhong Wang; Shuiwang Ji; Connor W. Coley,International Conference on Machine Learning,2025,conference,https://arxiv.org/abs/2502.09571,10.48550/arXiv.2502.09571,https://github.com/coleygroup/DiffMS,NOASSERTION
de-novo-elucidation,MADGEN: Mass-Spec Attends to De Novo Molecular Generation,MADGEN,Yinkai Wang; Xiaohui Chen; Liping Liu; Soha Hassoun,International Conference on Learning Representations,2025,conference,https://openreview.net/forum?id=78tc3EiUrN,10.48550/arXiv.2501.01950,https://github.com/HassounLab/MADGEN,MIT
de-novo-elucidation,FlowMS: Flow Matching for De Novo Structure Elucidation from Mass Spectra,FlowMS,Jianan Nie; Peng Gao,ICLR Workshop on Foundation Models for Science,2026,workshop,https://openreview.net/forum?id=7H0fSu6gz1,10.48550/arXiv.2603.18397,,
de-novo-elucidation,MS-BART: Unified Modeling of Mass Spectra and Molecules for Structure Elucidation,MS-BART,Yang Han; Pengyu Wang; Kai Yu; Xin Chen; Lu Chen,Advances in Neural Information Processing Systems,2025,conference,https://arxiv.org/abs/2510.20615,10.48550/arXiv.2510.20615,https://github.com/OpenDFM/MS-BART,NOASSERTION
